"Site","Mark","Individual","Orientation","Altitude","Plot","ID","Site_Plot","Date","Days","Days.mort","Mortality","Mortality.overall"
"SM2","D05","i","S","M","D","SM2 D05 i","SM2 D",2020-02-27,697,447,0,FALSE
"SM2","D06","i","S","M","D","SM2 D06 i","SM2 D",2020-02-27,697,476,0,FALSE
"SM2","D08","i","S","M","D","SM2 D08 i","SM2 D",2020-02-27,697,447,0,FALSE
"SM2","D09","i","S","M","D","SM2 D09 i","SM2 D",2020-02-27,697,476,0,FALSE
"SM2","D11","d","S","M","D","SM2 D11 d","SM2 D",2020-02-27,697,461,0,FALSE
"SM2","D15","i","S","M","D","SM2 D15 i","SM2 D",2019-02-12,317,81,1,TRUE
"SM2","D16","i","S","M","D","SM2 D16 i","SM2 D",2019-01-11,285,64,1,TRUE
"SM2","E08","i","S","M","E","SM2 E08 i","SM2 E",2019-09-03,520,299,1,TRUE
"SM2","E15","d","S","M","E","SM2 E15 d","SM2 E",2019-02-12,317,96,1,TRUE
"SM2","E20","i","S","M","E","SM2 E20 i","SM2 E",2019-07-09,464,243,1,TRUE
"SU1","A01","i","S","U","A","SU1 A01 i","SU1 A",2018-12-30,273,135,1,TRUE
"SU1","A05","i","S","U","A","SU1 A05 i","SU1 A",2019-01-15,289,200,1,TRUE
"SU1","A14","d","S","U","A","SU1 A14 d","SU1 A",2018-09-14,166,77,1,TRUE
"SU1","A17","d","S","U","A","SU1 A17 d","SU1 A",2018-12-03,246,80,1,TRUE
"SU1","A17","i","S","U","A","SU1 A17 i","SU1 A",2018-09-14,166,28,1,TRUE
"SU1","B01","i","S","U","B","SU1 B01 i","SU1 B",2019-02-02,307,169,1,TRUE
"SU1","B03","i","S","U","B","SU1 B03 i","SU1 B",2020-02-29,699,533,0,FALSE
"SU1","B05","d","S","U","B","SU1 B05 d","SU1 B",2018-11-15,228,139,1,TRUE
"SU1","B05","i","S","U","B","SU1 B05 i","SU1 B",2019-02-02,307,218,1,TRUE
"SU1","B12","d","S","U","B","SU1 B12 d","SU1 B",2018-12-03,246,157,1,TRUE
"SU1","B12","i","S","U","B","SU1 B12 i","SU1 B",2018-12-30,273,78,1,TRUE
"SU1","B13","d","S","U","B","SU1 B13 d","SU1 B",2018-08-17,138,49,1,TRUE
"SU1","C01","i","S","U","C","SU1 C01 i","SU1 C",2019-03-20,353,200,1,TRUE
"SU1","C02","d","S","U","C","SU1 C02 d","SU1 C",2018-10-13,195,57,1,TRUE
"SU1","C03","d","S","U","C","SU1 C03 d","SU1 C",2019-02-28,333,138,1,TRUE
"SU1","C05","d","S","U","C","SU1 C05 d","SU1 C",2018-10-13,195,73,1,TRUE
"SU1","C06","d","S","U","C","SU1 C06 d","SU1 C",2018-10-13,195,57,1,TRUE
"SU1","C07","d","S","U","C","SU1 C07 d","SU1 C",2018-09-14,166,77,1,TRUE
"SU1","C08","d","S","U","C","SU1 C08 d","SU1 C",2019-02-28,333,154,1,TRUE
"SU1","C09","d","S","U","C","SU1 C09 d","SU1 C",2018-10-13,195,106,1,TRUE
"SU1","C12","d","S","U","C","SU1 C12 d","SU1 C",2018-09-01,153,64,1,TRUE
"SU1","C14","d","S","U","C","SU1 C14 d","SU1 C",2018-09-14,166,77,1,TRUE
"SU1","C14","i","S","U","C","SU1 C14 i","SU1 C",2019-07-14,469,380,1,TRUE
"SU1","C17","d","S","U","C","SU1 C17 d","SU1 C",2018-10-13,195,57,1,TRUE
"SU1","C17","i","S","U","C","SU1 C17 i","SU1 C",2018-11-15,228,139,1,TRUE
"SU1","C18","d","S","U","C","SU1 C18 d","SU1 C",2018-09-01,153,64,1,TRUE
"SU1","D03","i","S","U","D","SU1 D03 i","SU1 D",2019-02-02,307,141,1,TRUE
"SU1","D05","i","S","U","D","SU1 D05 i","SU1 D",2018-12-30,273,135,1,TRUE
"SU1","D06","i","S","U","D","SU1 D06 i","SU1 D",2018-11-15,228,90,1,TRUE
"SU1","D07","i","S","U","D","SU1 D07 i","SU1 D",2019-03-20,353,264,1,TRUE
"SU1","D08","d","S","U","D","SU1 D08 d","SU1 D",2018-11-15,228,62,1,TRUE
"SU1","D11","i","S","U","D","SU1 D11 i","SU1 D",2018-09-01,153,64,1,TRUE
"SU1","D15","i","S","U","D","SU1 D15 i","SU1 D",2019-02-02,307,218,1,TRUE
"SU1","D18","i","S","U","D","SU1 D18 i","SU1 D",2019-02-28,333,105,1,TRUE
"SU1","E11","d","S","U","E","SU1 E11 d","SU1 E",2018-12-30,273,184,1,TRUE
"SU1","E12","i","S","U","E","SU1 E12 i","SU1 E",2018-10-13,195,57,1,TRUE
"SU1","E13","i","S","U","E","SU1 E13 i","SU1 E",2019-02-28,333,244,1,TRUE
"SU1","E14","i","S","U","E","SU1 E14 i","SU1 E",2018-09-01,153,64,1,TRUE
"SU1","E15","d","S","U","E","SU1 E15 d","SU1 E",2019-10-29,576,487,1,TRUE
"SU1","E15","i","S","U","E","SU1 E15 i","SU1 E",2018-09-27,179,41,1,TRUE
"SU1","E16","i","S","U","E","SU1 E16 i","SU1 E",2018-09-27,179,41,1,TRUE
"SU1","E17","d","S","U","E","SU1 E17 d","SU1 E",2018-09-27,179,90,1,TRUE
"SU1","E18","d","S","U","E","SU1 E18 d","SU1 E",2018-10-13,195,106,1,TRUE
"SU1","E18","i","S","U","E","SU1 E18 i","SU1 E",2018-10-13,195,89,1,TRUE
"SU1","E19","d","S","U","E","SU1 E19 d","SU1 E",2020-02-29,699,628,0,FALSE
"SU2","B03","i","S","U","B","SU2 B03 i","SU2 B",2018-11-15,228,90,1,TRUE
"SU2","B04","d","S","U","B","SU2 B04 d","SU2 B",2018-11-15,228,62,1,TRUE
"SU2","B13","d","S","U","B","SU2 B13 d","SU2 B",2018-11-15,228,62,1,TRUE
"SU2","B14","d","S","U","B","SU2 B14 d","SU2 B",2020-02-29,699,533,0,FALSE
"SU2","B14","i","S","U","B","SU2 B14 i","SU2 B",2020-02-29,699,504,0,FALSE
"SU2","B17","i","S","U","B","SU2 B17 i","SU2 B",2019-01-15,289,200,1,TRUE
"SU2","B18","d","S","U","B","SU2 B18 d","SU2 B",2018-12-30,273,107,1,TRUE
"SU2","C10","d","S","U","C","SU2 C10 d","SU2 C",2019-03-20,353,158,1,TRUE
"SU2","C18","d","S","U","C","SU2 C18 d","SU2 C",2018-09-14,166,77,1,TRUE
"SU2","D02","d","S","U","D","SU2 D02 d","SU2 D",2020-02-29,699,504,0,FALSE
"SU2","D08","d","S","U","D","SU2 D08 d","SU2 D",2018-10-13,195,106,1,TRUE
"SU2","E18","d","S","U","E","SU2 E18 d","SU2 E",2018-10-13,195,106,1,TRUE
