"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2018-10-13,"C","NM2",5,50,35,0,10,6.4,"NM2 C","N","M"
2018-10-13,"C","NU1",5,70,25,0,0,8,"NU1 C","N","U"
2018-10-13,"C","NU2",0,70,30,0,0,11.2,"NU2 C","N","U"
2018-10-13,"D","NM1",15,15,30,10,30,9.2,"NM1 D","N","M"
2018-10-13,"D","NM2",10,50,40,0,0,17,"NM2 D","N","M"
2018-10-13,"D","NU1",5,70,20,5,0,9,"NU1 D","N","U"
2018-10-13,"D","NU2",5,45,45,5,10,5.2,"NU2 D","N","U"
2018-10-13,"E","NM1",5,45,35,5,10,14.2,"NM1 E","N","M"
2018-10-13,"E","NM2",5,50,30,5,10,10.2,"NM2 E","N","M"
2018-10-13,"E","NU1",5,70,20,5,0,10.2,"NU1 E","N","U"
2018-10-13,"E","NU2",5,40,35,10,10,6.2,"NU2 E","N","U"
2018-11-08,"A","ND1",20,40,35,0,5,51.6,"ND1 A","N","D"
2018-11-08,"A","ND2",10,20,40,0,30,16.4,"ND2 A","N","D"
2018-11-08,"A","SD1",10,50,30,0,10,30,"SD1 A","S","D"
2018-11-08,"A","SD2",20,60,20,0,0,40,"SD2 A","S","D"
2018-11-08,"A","SM1",10,50,30,10,0,19.4,"SM1 A","S","M"
2018-11-08,"A","SM2",10,55,25,10,0,19.4,"SM2 A","S","M"
2018-11-08,"A","SU1",0,60,40,0,0,12.4,"SU1 A","S","U"
2018-11-08,"A","SU2",0,50,30,0,20,7.4,"SU2 A","S","U"
2018-11-08,"B","ND1",20,30,40,0,10,19.6,"ND1 B","N","D"
2018-11-08,"B","ND2",20,35,30,0,15,20.8,"ND2 B","N","D"
2018-11-08,"B","SD1",0,90,10,0,0,68.8,"SD1 B","S","D"
2018-11-08,"B","SD2",15,50,35,0,0,22.2,"SD2 B","S","D"
2018-11-08,"B","SM1",20,50,20,5,5,24.8,"SM1 B","S","M"
2018-11-08,"B","SM2",5,50,25,10,10,24.8,"SM2 B","S","M"
2018-11-08,"B","SU1",20,60,20,0,0,7.4,"SU1 B","S","U"
2018-11-08,"B","SU2",5,50,40,0,5,5.6,"SU2 B","S","U"
2018-11-08,"C","ND1",10,50,35,0,5,70.2,"ND1 C","N","D"
2018-11-08,"C","ND2",15,20,35,0,30,19.4,"ND2 C","N","D"
2018-11-08,"C","SD1",20,60,20,0,0,34.4,"SD1 C","S","D"
2018-11-08,"C","SD2",10,85,5,0,0,28,"SD2 C","S","D"
2018-11-08,"C","SM1",10,60,15,15,0,23.6,"SM1 C","S","M"
2018-11-08,"C","SM2",20,50,30,0,0,23.6,"SM2 C","S","M"
2018-11-08,"C","SU1",20,60,20,0,0,12,"SU1 C","S","U"
2018-11-08,"C","SU2",5,45,45,0,5,10,"SU2 C","S","U"
2018-11-08,"D","ND1",10,40,45,0,5,32.2,"ND1 D","N","D"
2018-11-08,"D","ND2",10,30,40,0,20,16.8,"ND2 D","N","D"
2018-11-08,"D","SD1",10,70,20,0,0,45,"SD1 D","S","D"
